,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1973-01-01,3.9760000000000004,3.813,4.67,5.303999999999999,6.428,6.476,7.638999999999999,8.216000000000001,9.721,11.304,12.547,13.175,14.159,15.181,15.489,15.225999999999999,13.755,12.05,9.437999999999999,8.505,8.998,7.657,5.643,4.875,2.622,1.8969999999999998,1.699,1.8130000000000002,1.8559999999999999,1.9869999999999999,2.256,2.458,2.639,3.089,2.87,2.369
1973-02-01,3.535,4.02,4.273,4.632,5.14,5.892,7.117999999999999,8.644,9.663,10.443,11.85,13.773,14.082,16.361,17.922,18.035,16.527,14.939,14.15,11.513,10.959000000000001,11.940999999999999,12.196,10.911,5.221,2.425,1.929,2.153,2.519,2.895,2.8569999999999998,3.253,3.8789999999999996,3.984,3.489,3.093
1973-03-01,3.1860000000000004,3.5180000000000002,3.763,4.39,4.843,5.347,6.511,7.468999999999999,8.952,10.378,11.714,13.109000000000002,14.304,14.981,14.913,15.415999999999999,15.757,16.207,14.532,11.505999999999998,10.349,10.737,11.267000000000001,10.092,5.65,2.4130000000000003,2.21,2.23,2.459,2.7960000000000003,3.282,4.345,4.484,4.406000000000001,3.384,2.636
1973-04-01,4.776,5.231,5.792000000000001,6.105,6.569,7.537999999999999,7.966,8.844,9.619,10.947000000000001,12.345,14.007,15.252,16.237000000000002,16.756,17.102,17.18,16.477999999999998,15.966,14.27,14.008,13.173,12.129000000000001,10.505,6.945,2.8930000000000002,2.5,2.878,3.033,3.273,3.2680000000000002,3.552,3.648,3.679,3.775,2.884
1973-05-01,4.419,4.526,5.3420000000000005,6.249,7.367999999999999,8.184,9.249,10.029,11.323,12.011,13.267000000000001,13.968,13.347999999999999,13.73,12.927999999999999,13.205,12.205,13.07,11.272,11.276,11.645,12.579,11.905999999999999,11.800999999999998,7.662999999999999,4.591,3.94,3.3369999999999997,3.449,3.966,4.283,4.552,4.332,4.301,4.288,3.346
1973-06-01,4.353,4.602,5.309,5.936,6.803,7.832000000000001,8.745,9.682,10.78,11.745,13.262,13.812999999999999,14.159,14.418,14.179,13.394,12.54,11.275,9.804,10.229,9.292,8.078,7.724,8.674,6.627999999999999,3.043,2.229,2.374,2.9339999999999997,3.0839999999999996,3.306,3.861,4.0,4.363,4.657,4.287
1973-07-01,4.294,4.815,5.437,6.346,7.287000000000001,8.24,9.26,10.134,11.21,12.300999999999998,13.038,13.561,13.482000000000001,12.943,12.681,12.043,11.501,10.181000000000001,9.041,8.05,7.185,6.9270000000000005,7.143,7.9510000000000005,6.337000000000001,3.177,3.0180000000000002,3.214,3.1069999999999998,3.408,3.583,3.6919999999999997,3.944,4.0360000000000005,3.713,3.748
1973-08-01,-9999.0,3.66,4.743,5.276,6.013,7.042000000000001,8.258,9.257,10.218,11.165999999999999,12.048,12.405999999999999,11.752,13.460999999999999,12.613,12.140999999999998,11.952,10.433,8.277000000000001,8.502,7.111000000000001,4.935,4.3260000000000005,4.417,4.107,2.602,1.655,1.954,2.45,2.6310000000000002,3.245,3.793,4.232,4.468999999999999,4.926,5.893
1973-09-01,-9999.0,3.3160000000000003,4.121,4.673,4.738,5.553999999999999,6.3839999999999995,6.877999999999999,7.822,9.052,9.623,10.655,11.334000000000001,11.960999999999999,12.265999999999998,12.440999999999999,11.683,10.918,9.191,7.849,6.546,4.854,3.8960000000000004,3.3819999999999997,3.415,2.542,2.237,2.029,2.184,2.449,2.8810000000000002,3.3310000000000004,3.634,3.677,3.8760000000000003,3.852
1973-10-01,3.3930000000000002,3.636,4.11,4.801,4.881,5.781000000000001,6.575,7.546,8.226,9.412,10.637,11.589,12.173,12.424000000000001,12.380999999999998,12.309000000000001,12.019,11.167,10.587,9.283,7.367999999999999,5.73,4.567,4.534,3.3510000000000004,1.679,1.5959999999999999,2.0669999999999997,2.2880000000000003,2.693,3.2289999999999996,3.5980000000000003,3.7680000000000002,4.041,3.9189999999999996,3.431
