date,925hPa,850hPa,700hPa,500hPa,400hPa,300hPa,250hPa,200hPa,150hPa,100hPa,50hPa,30hPa,20hPa,10hPa,925hPa_ds,850hPa_ds,700hPa_ds,500hPa_ds,400hPa_ds,300hPa_ds,250hPa_ds,200hPa_ds,150hPa_ds,100hPa_ds,50hPa_ds,30hPa_ds,20hPa_ds,10hPa_ds
1972-05-01,3.357,3.68,4.2360000000000015,3.377,2.889,2.817,5.259,7.305,7.086,10.144,15.068,12.936,11.286,7.852,-0.1445181225014201,-0.18870879587740605,0.0013592577270850892,-0.009731869581951377,-0.022052341694934495,-0.07874064030850349,0.21532736017563223,-0.012406878001379991,-0.1848731037457761,0.08121455440136086,0.060437538395672966,-0.017391496998028194,0.008637302197587224,0.027970139727962803
1972-06-01,5.585,5.7860000000000005,5.876,4.759,3.966,3.699,4.586,6.59,8.42,11.229,15.444,13.438,12.441,8.22,0.4406939062861074,0.34877034849838784,0.4205818357643645,0.33930581613508454,0.280241027055018,0.23777920303393632,0.20610812498972653,0.051553794396500076,0.16867006526346828,0.36297704904767203,0.17019577138852146,0.03744306338300032,0.056207319208545006,0.08680742056769843
1972-07-01,3.205,3.625,3.783,3.234,2.8280000000000003,2.446,3.2030000000000003,5.474,5.2570000000000014,6.05,13.484000000000002,13.251,12.352,8.163,-0.18538120036600653,-0.139930930851765,-0.05569269172098166,-0.10112845345669932,-0.09444756747525494,-0.17119708446907497,-0.10646093188186581,0.00513728674547382,-0.06580235992860162,-0.1626117286646694,0.06463651500769409,0.021068817841370758,0.024155657509258962,0.09210182068998346
1972-08-01,3.074,3.422,3.497,3.015,2.346,2.503,2.647,3.55,4.128,6.9910000000000005,12.42,11.743,11.042,7.167000000000002,-0.23127919721622175,-0.18367906285052993,-0.08846431146359057,-0.10249670652614508,-0.17997649893650236,-0.02693201650992157,-0.09619980966356959,-0.08304526794203132,-0.10647704664357813,0.03466007494410711,0.040980098437834324,-0.044861588940959964,-0.05101833012915729,-0.006554027789077576
1972-09-01,2.693,2.806,3.218,2.628,1.966,1.7819999999999998,2.954,3.326,4.6560000000000015,8.099,12.68,11.658,10.239,7.07,-0.1997493523859972,-0.25447341365647413,-0.09840179311016893,-0.11535872142376255,-0.19926333218229006,-0.17641739759471944,0.2457850103140041,0.10040565033516531,0.26212322107310176,0.28751036770804506,0.08714614816858136,-0.02758571918162208,-0.04706660704855975,0.05590909090909089
1972-10-01,3.2310000000000003,3.723,3.427,2.6860000000000004,2.184,1.802,1.534,1.855,2.6260000000000003,6.5779999999999985,12.687,12.246,10.604,6.1110000000000015,0.04478936613758817,0.02584832211617372,-0.002149724934331317,0.0023979672860093663,-0.02729133500113702,-0.07407893298349164,-0.28821624610038293,-0.3316698862416828,-0.2665196797984178,0.08607340583986736,0.0915785985871275,0.008063640407875928,0.004235461004340337,-0.02526954520927298
1972-11-01,2.964,3.364,3.457,2.649,2.02,2.186,2.282,3.056,3.681,8.346,12.415,12.482,10.31,6.495,0.028459898073517065,-0.0373673542387028,0.0358311068940548,0.028829426567089266,-0.0728008185669341,0.009592902983710277,-0.10975292587776321,-0.09769330134711196,-0.18999133548188937,0.13460972017673054,0.009837065656693901,-0.029461076292313725,-0.028177892460955766,0.16589815219952214
1972-12-01,3.666,4.083,3.3280000000000003,2.491,1.963,1.5590000000000002,1.329,2.62,4.194,6.1110000000000015,13.688,14.377,11.633,6.238,0.3294755762984454,0.2240963541327217,0.0460188721789099,0.00140703517587951,-0.06946691536392598,-0.2421802350156394,-0.4601139223738243,-0.25303848227732795,-0.19982745963343473,-0.2271957509044721,0.042442865373535435,0.04358707315533671,0.0406503116400728,0.0804049805529514
1973-01-01,2.094,3.257,3.144,1.999,1.6769999999999998,1.621,2.093,4.13,6.146,8.699,13.867,14.05,11.074000000000002,6.0120000000000005,-0.27613493751362067,-0.028876630994899042,-0.01588878530746675,-0.19249345768129694,-0.1946926674461336,-0.21587885798412115,-0.26647568835997376,-0.13664683774977382,-0.07478834567642687,-0.03060181304598498,-0.08047875844551976,-0.05238216724875585,-0.05891437924676801,0.016739032128794833
1973-02-01,3.726,3.914,3.839,2.915,2.338,3.205,4.591,9.496,8.267999999999999,10.744000000000002,17.679000000000006,13.87,10.785,5.752999999999999,0.19934013760545044,0.0666424426856825,0.10133459242037564,0.07697044334975375,-0.01776743046195326,0.25118945955837485,0.2143628628738953,0.4651353410285343,-0.06406180723914476,0.03813241164404401,0.06775918192216124,-0.07962967315075045,-0.05112447258173813,-0.08242188958154492
1973-03-01,2.767,4.312,4.934,3.122,2.481,2.421,2.9530000000000003,8.174,10.821,11.392,15.321,13.876,10.268,5.122999999999998,-0.15360153964784384,0.11437385924956797,0.3230172784608594,0.0561569688768606,-0.032866366183457105,-0.1668602400309718,-0.3185188034270219,0.1260148718728744,0.18745984897499152,0.10999104806640266,-0.056505155551792266,-0.033989235412620764,-0.06345734704774642,-0.18490355898663216
1973-04-01,2.905,3.974,4.04,3.409,2.82,3.275,3.961,10.667,12.322,14.181,17.491,13.928,10.136,6.372000000000001,-0.17914181938058873,-0.03957464805751925,-0.0002371549653031576,0.06933643528381545,0.004810261892036369,0.02965835254663587,-0.16690182194217823,0.34321827139506683,0.32628916375900335,0.389337812820832,0.10998909271194841,0.005840562571653011,-0.08004734694494989,-0.07983068133613701
1973-05-01,3.745,4.638,4.599,4.021,3.2230000000000003,5.089,8.931000000000003,12.394,13.123,11.063,13.545,13.548,10.687,6.327000000000001,-0.04564205206071443,0.022491468674073523,0.08716978901956157,0.17911405164672006,0.09100910443656167,0.6642843029712552,1.063907330999919,0.6755960512047772,0.5095837227694298,0.17916764741149996,-0.04674631951357907,0.029095547207074374,-0.044895724917099554,-0.17168019943214197
1973-06-01,4.324,4.987,4.428,3.755,3.275,2.359,2.307,6.9860000000000015,6.654,9.767,13.398,14.374,12.052,7.062,0.1154092123153318,0.16251602626364667,0.07051333709404449,0.05675422138836773,0.057183399799592464,-0.21061877805973075,-0.393263967651265,0.11474276292169215,-0.07644529521815702,0.1855193550671131,0.015169835862691607,0.10970431560256336,0.023182269198728664,-0.06629756641738613
1973-07-01,2.813,4.3180000000000005,4.062,3.699,3.2880000000000003,2.97,4.083,7.562,6.738,7.718,12.449000000000002,13.46,12.994000000000002,6.965,-0.28501632344136546,0.024490549126090815,0.013950908334489252,0.028115600081530332,0.052848797079689425,0.006355134557173876,0.13903216207503644,0.38853638333380947,0.19737943671315977,0.06825829391174904,-0.01708246993987068,0.037173518085039006,0.0773865457962526,-0.06817479099525488
1973-08-01,5.995,6.323,4.728,3.777,2.549,1.601,1.807,2.986,4.035,7.604,11.927,11.225,11.611,6.829,0.4991806157087674,0.5083568923425188,0.23241084798402736,0.12433497162545605,-0.1090196486739747,-0.37759415039248284,-0.38301211033701177,-0.22872483664081836,-0.12660728759855563,0.12538338004219568,-0.00034060917326492266,-0.08699406760302104,-0.0021168113683793246,-0.05340553310612704
1973-09-01,3.055,3.856,3.759,3.284,2.508,2.224,2.6210000000000004,2.922,3.215,6.1,12.018,11.773,9.239,5.723,-0.09217759804649883,0.024501253364446033,0.05317205086975603,0.10546497672920985,0.0214890960767124,0.02786066652600691,0.10534953013981214,-0.03325757357806581,-0.12849524146262442,-0.030273707492397318,0.030388202578076645,-0.017993366951898827,-0.14013559747256993,-0.14526623376623385
1973-10-01,3.38,4.0139999999999985,4.151,3.204,2.4930000000000003,1.802,1.899,3.3480000000000003,3.799,8.39,11.996,12.467,10.29,5.3020000000000005,0.09297061514857553,0.1060314705813376,0.20865961242999428,0.19571224392567899,0.11033090743688899,-0.07407893298349164,-0.1188544011373059,0.2062367767454697,0.061116426673956746,0.3852471685917437,0.032125551245462486,0.026255871710353526,-0.025501424581793476,-0.1543084812141329
1973-11-01,3.344,4.367,3.89,2.252,2.516,2.068,2.414,4.175,5.075,6.247999999999998,13.547,13.604,10.342,4.92,0.16031373115986536,0.24964826517229044,0.16557217408674385,-0.12535905299015296,0.15486789132950188,-0.04490479260278455,-0.05825747724317278,0.2326997601033401,0.11676011204276326,-0.15060609493599203,0.10191403370529471,0.05778012482930332,-0.025161567781882107,-0.11682541819528118
1973-12-01,1.622,2.544,3.325,2.7430000000000003,2.2230000000000003,1.787,1.95,3.361,5.374,6.317,14.289,14.916,11.843,5.667000000000002,-0.4117814007757559,-0.2373007286520588,0.0450759465128832,0.10271356783919619,0.05378249981966009,-0.13135091723729814,-0.20784209829116437,-0.04177951867713706,0.02530453789459262,-0.20114474856219136,0.08821347920239969,0.08271160765006623,0.05943622803691078,-0.018490698173520864
1974-01-01,3.284,3.602,3.467,2.489,1.993,1.472,1.311,2.794,5.48,8.331,16.265,16.114,12.336,5.964,0.13523059465390147,0.07399029019231605,0.08521424342843915,0.005444614222737208,-0.042947218974444826,-0.28795415111204586,-0.5405397168848187,-0.41593008829851524,-0.17504720701380064,-0.07161095579791944,0.07853270309970584,0.08682660191840201,0.04833232956581799,0.008621355225570915
1974-02-01,3.73,4.441,4.03,2.954,2.268,2.422,2.784,6.4289999999999985,9.16,9.787,16.535999999999998,16.207,10.2,5.112,0.2006276739850591,0.2102603699456095,0.15612878547906073,0.0913793103448277,-0.04717559122656556,-0.05448334756618284,-0.2636057045870346,-0.008071281858419913,0.03691265671134922,-0.0543371265115173,-0.0012746290930001518,0.07544642301699991,-0.1025933815793908,-0.18465856067110323
1974-03-01,2.924,3.813,3.878,2.781,2.073,2.736,4.814,9.013,8.856,12.125,14.668,13.059,9.447,5.439,-0.10557676253353646,-0.014585453312012383,0.03985833114536135,-0.05920162381596746,-0.19191131684736257,-0.058459156020131554,0.11095512370549152,0.24159188159899897,-0.028172588252238694,0.18141164482137753,-0.09671807464484625,-0.09086663485539166,-0.1383406269536484,-0.13462628485814776
1974-04-01,3.158,3.83,3.876,3.014,2.54,2.923,4.138,6.002999999999999,9.04,11.977,15.836,12.486,12.233,7.085,-0.10765227731631638,-0.07437617062413156,-0.04082158728849386,-0.054567317117800024,-0.09495813290575442,-0.0810102703835674,-0.12967425882270475,-0.24408556452755364,-0.026971754554342642,0.1734080096012345,0.004961824491819553,-0.09829657780947304,0.11027829566124994,0.023132395281460844
