,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar,pre_tropop,temp_sur,AO,NOI,EA,AOD
1979-11,-1.716941484082493,0.0,0.0,1.0,0.0,0.7340000000000001,0.7799759423629634,1.7828233061176764,2.3056492071926122,,,,,,
1979-12,-1.7087277630615276,0.0,0.0,1.0,0.0,1.004,0.9797617818297057,1.4099251601927132,1.663915081772693,,,,,,
1980-01,-1.7002402513398631,0.0,0.0,1.0,0.0,0.677,1.2062702119749311,0.8036257890525946,1.7150330233236726,,,,,,
1980-02,-1.6917527396181988,0.0,0.0,1.0,0.0,0.601,1.123188025846196,0.6684801723118824,1.61778378596573,,,,,,
1980-03,-1.683812809297932,0.0,0.0,1.0,0.0,0.684,1.19364085390772,0.4873378548377393,0.9976336219946618,,,,,,
1980-04,-1.6753252975762678,0.0,0.0,1.0,0.0,0.912,1.3063733553354382,0.2322213761343767,1.9272971870927984,,,,,,
1980-05,-1.6671115765553022,0.0,0.0,1.0,0.0,0.958,1.336587185356128,-0.17940207081057,2.356279978210801,,,,,,
1980-06,-1.658624064833638,0.0,0.0,1.0,0.0,0.9109999999999999,1.1300814027540274,-0.8895898990683957,1.7100843963326686,,,,,,
1980-07,-1.6504103438126723,0.0,0.0,1.0,0.0,0.769,0.8640334195758913,-1.0844920055999865,1.5263651624419419,,,,,,
1980-08,-1.641922832091008,0.0,0.0,1.0,0.0,0.32899999999999996,0.74119515050021,-1.1650154690803114,1.0816880210976416,,,,,,
1980-09,-1.6334353203693435,0.0,0.0,1.0,0.0,0.263,0.5685264806118118,-1.1519923214875052,1.4186608483833658,,,,,,
1980-10,-1.625221599348378,0.0,0.0,1.0,0.0,0.192,0.4242144397014695,-1.1968133283025941,1.7875491729657615,,,,,,
1980-11,-1.6167340876267136,0.0,0.0,1.0,0.0,0.248,0.19559499325972252,-1.1741650073495884,2.0157431138693775,,,,,,
1980-12,-1.6085203666057482,0.0,0.0,1.0,0.0,0.111,0.040246625498679675,-1.2078362460684424,2.13138900690033,,,,,,
1981-01,-1.6000328548840836,0.0,0.0,1.0,0.0,-0.25,-0.0946815152964807,-1.2249879570649633,1.0526675754838852,,,,,,
1981-02,-1.5915453431624196,0.0,0.0,1.0,0.0,-0.14,-0.1622471471786854,-1.2002686916521759,1.7149206377769761,,,,,,
1981-03,-1.5838792035428517,0.0,0.0,1.0,0.0,0.455,-0.37427199285404805,-1.1506070036417557,1.7944021938576844,,,,,,
1981-04,-1.5753916918211872,0.0,0.0,1.0,0.0,0.669,-0.6615625870134295,-1.0540067460163658,2.2602700878987463,,,,,,
1981-05,-1.5671779708002218,0.0,0.0,1.0,0.0,0.18899999999999997,-0.8529758894437219,-0.34076096973890957,1.7017465542474965,,,,,,
1981-06,-1.5586904590785573,0.0,0.0,1.0,0.0,-0.024,-0.9001715650877549,0.13444025859060194,0.8983184311299718,,,,,,
1981-07,-1.550476738057592,0.0,0.0,1.0,0.0,-0.026000000000000002,-0.9184237835501335,0.36888900802734287,1.6861524352791395,,,,,,
1981-08,-1.5419892263359274,0.0,0.0,1.0,0.0,-0.09,-0.9467788642257615,0.47480068169518225,2.288379128353068,,,,,,
1981-09,-1.533501714614263,0.0,0.0,1.0,0.0,0.174,-1.0147641245796324,0.5324539920928532,2.200511279529276,,,,,,
1981-10,-1.5252879935932975,0.0,0.0,1.0,0.0,0.10099999999999999,-1.0758920688674782,0.5357543439366009,2.2199887770030564,,,,,,
1981-11,-1.5168004818716332,0.0,0.0,1.0,0.0,-0.039,-1.1606519619527502,0.5857240507576307,1.7973019074595729,,,,,,
1981-12,-1.5085867608506676,0.0,0.0,1.0,0.0,-0.126,-1.0457658603638198,0.7891338105236964,1.7542630714907035,,,,,,
1982-01,-1.5000992491290033,0.0,0.0,1.0,0.0,-0.258,-0.9550943126383351,0.8916952937751348,1.1470714347093611,,,,,,
1982-02,-1.491611737407339,0.0,0.0,1.0,0.0,-0.125,-0.7377341121940668,1.1587030571545116,1.917996325745262,,,,,,
1982-03,-1.4839455977877711,0.0,0.0,1.0,0.0,0.1,-0.7105557279627457,1.3237992421945346,1.9052393174668547,,,,,,
1982-04,-1.4754580860661068,0.0,0.0,1.0,0.0,0.008,-0.5495900559313233,1.534823244404092,0.9215138089855955,,,,,,
1982-05,-1.4672443650451412,0.0,0.0,1.0,0.0,0.44299999999999995,-0.05931824544655149,1.6469725890887699,0.5956130392633531,,,,,,
1982-06,-1.458756853323477,0.0,0.0,1.0,0.0,0.93,0.5723130319547267,1.5305127583542848,1.2343985009321576,,,,,,
1982-07,-1.4505431323025113,0.0,0.0,1.0,0.0,1.6119999999999999,0.9923995380548525,1.1839683915331087,0.9622496569812604,,,,,,
1982-08,-1.442055620580847,0.0,0.0,1.0,0.0,1.778,1.4406913800974697,0.5878984041961292,1.1194495647878306,,,,,,
1982-09,-1.4335681088591827,0.0,0.0,1.0,0.0,1.7830000000000001,1.4431986249823636,-0.03672676189532935,1.0106100734590624,,,,,,
1982-10,-1.425354387838217,0.0,0.0,1.0,0.0,2.001,1.3197633538138078,-0.4297411055895875,0.87623725190916,,,,,,
1982-11,-1.4168668761165528,0.0,0.0,1.0,0.0,2.394,1.2992567578528516,-0.5680633608052875,0.9373386929431708,,,,,,
1982-12,-1.4086531550955872,0.0,0.0,1.0,0.0,2.425,1.2728925452854003,-0.9120032631517838,1.576294314654528,,,,,,
1983-01,-1.400165643373923,0.0,0.0,1.0,0.0,2.677,1.0486134931287916,-0.9976097008886773,0.37526743895263004,,,,,,
1983-02,-1.3916781316522584,0.0,0.0,1.0,0.0,2.931,0.799720294774167,-1.18861148611656,-0.018461587889032644,,,,,,
1983-03,-1.3840119920326905,0.0,0.0,1.0,0.0,3.008,0.4404273951541927,-1.283272759238205,-0.0675216252071622,,,,,,
1983-04,-1.3755244803110263,0.0,0.0,1.0,0.0,2.812,0.20920540413694305,-1.3362039555160452,-0.012154344511291418,,,,,,
1983-05,-1.3673107592900606,0.0,0.0,1.0,0.0,2.498,-0.46533029168911194,-1.158333100602325,0.42736438348817096,,,,,,
1983-06,-1.3588232475683963,0.0,0.0,1.0,0.0,2.235,-1.0144470764108195,-0.7404740527624691,0.48997861722927577,,,,,,
1983-07,-1.3506095265474307,0.0,0.0,1.0,0.0,1.7930000000000001,-1.2332157538168185,-0.5052439588236792,0.18813801133235195,,,,,,
1983-08,-1.3421220148257664,0.0,0.0,1.0,0.0,1.159,-1.3028438524148884,-0.43654800379497344,0.1537330493035108,,,,,,
1983-09,-1.333634503104102,0.0,0.0,1.0,0.0,0.45899999999999996,-1.2197925009102415,-0.13192320881780284,-0.22192438162927403,,,,,,
1983-10,-1.3254207820831365,0.0,0.0,1.0,0.0,0.024,-1.2218074478341898,-0.058863153871630866,-0.18870820893882945,,,,,,
1983-11,-1.316933270361472,0.0,0.0,1.0,0.0,-0.132,-1.2631491503612962,0.29408030550304703,-0.650324995520907,,,,,,
1983-12,-1.3087195493405068,0.0,0.0,1.0,0.0,-0.17,-1.3180666993929293,0.324175518846137,-0.648140323836149,,,,,,
